# Collector: Intel(R) PMWatch v3.2.1
# Output Format: v1.0
# Collected on Thu May 19 08:35:00 2022
# Default Format
# Avg column: read_hit_ratio (derived), write_hit_ratio (derived)
timestamp;;DIMM0;;;;;;;;;;DIMM1;;;;;;;;;;
epoch;timestamp;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);media_read_ops (derived);media_write_ops (derived);read_64B_ops_received;write_64B_ops_received;cpu_read_ops;cpu_write_ops;bytes_read (derived);bytes_written (derived);read_hit_ratio (derived);write_hit_ratio (derived);media_read_ops (derived);media_write_ops (derived);read_64B_ops_received;write_64B_ops_received;cpu_read_ops;cpu_write_ops;
1652949310;21001174990;3329072128;8718848;0.75;0.00;13004188;34058;52152984;136232;51912193;17;3336233728;8879872;0.75;0.00;13032163;34687;52267400;138748;52040505;17;
1652949320;21001356000;7823331072;9833216;0.75;0.00;30559887;38411;122393192;153644;122036171;214;7820871680;10140160;0.75;0.00;30550280;39610;122359560;158440;121974061;211;
1652949330;21001923148;7655580928;9721344;0.75;0.00;29904613;37974;119770348;151896;119409999;17;7656075008;9960960;0.75;0.00;29906543;38910;119781812;155640;119412149;17;
1652949340;21001374440;7622032384;9704192;0.75;0.00;29773564;37907;119245884;151628;118905726;17;7627253760;10030336;0.75;0.00;29793960;39181;119332564;156724;118922868;17;
1652949350;21002879428;7537308416;9724416;0.75;0.00;29442611;37986;117922388;151944;117579328;17;7542386176;10014976;0.75;0.00;29462446;39121;118006268;156484;117618117;17;
1652949360;21001255910;7983398656;9801216;0.75;0.00;31185151;38286;124893748;153144;124514697;17;7983492352;10110976;0.75;0.00;31185517;39496;124900052;157984;124524026;17;
1652949370;21001239824;7705053184;9753344;0.75;0.00;30097864;38099;120543852;152396;120209554;17;7714570496;10072832;0.75;0.00;30135041;39347;120697552;157388;120278130;17;
1652949380;21001248332;7811065344;9759232;0.75;0.00;30511974;38122;122200384;152488;121840363;17;7811684608;10051328;0.75;0.00;30514393;39263;122214624;157052;121839159;17;
1652949390;21001364872;8025337600;9795840;0.75;0.00;31348975;38265;125548960;153060;125186075;17;8024926464;10130432;0.75;0.00;31347369;39572;125547764;158288;125154755;17;
1652949400;21001257506;7901470976;9798400;0.75;0.00;30865121;38275;123613584;153100;123276101;17;7908989696;10082304;0.75;0.00;30894491;39384;123735500;157536;123312660;17;
1652949410;21001244970;7818493184;9743616;0.75;0.00;30540989;38061;122316200;152244;121959777;17;7820383488;10091008;0.75;0.00;30548373;39418;122351164;157672;121960421;17;
1652949420;21001357746;7811602176;9771264;0.75;0.00;30514071;38169;122208960;152676;121856677;17;7816049152;10095616;0.75;0.00;30531442;39436;122283512;157744;121879836;17;
1652949430;21001367880;8206000640;9840384;0.75;0.00;32054690;38439;128372516;153756;128009519;17;8209909760;10139392;0.75;0.00;32069960;39607;128438268;158428;128019381;17;
1652949440;21001366034;8008930560;9796864;0.75;0.00;31284885;38269;125292616;153076;124927793;17;8010870016;10113536;0.75;0.00;31292461;39506;125327868;158024;124922079;17;
1652949450;21001277700;7916712960;9797888;0.75;0.00;30924660;38273;123851732;153092;123490412;17;7921045248;10065152;0.75;0.00;30941583;39317;123923600;157268;123520048;17;
1652949460;21001248756;8037182976;9799680;0.75;0.00;31395246;38280;125734104;153120;125380796;17;8044600576;10110464;0.75;0.00;31424221;39494;125854860;157976;125433835;17;
1652949470;21001245892;8038470656;9826816;0.75;0.00;31400276;38386;125754648;153544;125394466;17;8042758656;10133248;0.75;0.00;31417026;39583;125826436;158332;125410615;17;
1652949480;21001298526;2162160128;8461056;0.75;0.00;8445938;33051;33915956;132204;33727540;17;2158271744;8579840;0.75;0.00;8430749;33515;33857056;134060;33638746;17;
1652949490;21001231396;569856;8016640;0.00;0.00;2226;31315;134164;125260;37;17;560896;8008448;0.00;0.00;2191;31283;133896;125132;37;17;
